title,average_rating,num_ratings
The Seemingly Impossible Love Life of Amanda Dean,5,16
No FREE Attention: How Women use The Possibility of Sex to Manipulate Naïve and Lustful Men,4.91,257
To a Darker Shore,4.79,19
Nonbinary,4.78,51
"The Midnight Strider (The Chronomancer Chronicles, #2)",4.76,17
Thirteenth,4.74,53
"The Blue Codex (The Blue Codex, #1)",4.7,10
Earthflown,4.65,172
"Heartstopper: Volume Four (Heartstopper, #4)",4.61,369882
"Crooked Kingdom (Six of Crows, #2)",4.6,625376
The Loveless Princess,2.8,54
This Song Is (Not) for You,3.04,741
We Awaken,3.16,401
Ace of Hearts,3.18,28
That Inevitable Victorian Thing,3.21,4725
In My Dreams (Aces in Love #1),3.25,148
"The Once and Future Queen, Vol. 1: Opening Moves",3.26,199
Before I Let Go,3.33,8783
"Overleveled, Underloved",3.33,6
"Coffee Cake (Coffee Cake, #1)",3.34,238
